184,98,112,
161,142,154,Black
198,103,85,
80,108,213,
93,109,151,
157,78,239,
49,130,184,
225,205,189,Black
22,91,164,
77,38,163,
254,86,47,
141,78,226,
218,88,91,
32,105,64,
163,54,153,
45,121,117,
16,245,228,Black
8,251,12,Black
74,91,54,
43,223,85,Black
2,92,20,
84,60,102,
73,120,128,
74,156,79,Black
105,195,174,Black
196,64,37,
2,207,181,Black
41,131,255,
162,215,104,Black
128,31,95,
64,72,30,
20,74,218,
188,53,202,
172,88,63,
63,216,31,Black
187,159,92,
158,238,155,Black
164,150,85,Black
236,137,76,
146,118,152,
6,245,23,Black
225,201,24,Black
30,233,56,Black
62,116,188,
242,212,79,
108,207,36,
10,168,31,
125,97,212,
106,192,255,
33,62,216,
225,7,32,
81,107,236,
113,53,30,
27,54,98,
145,167,153,
105,198,52,
119,8,60,
154,255,192,Black
32,164,41,
218,193,138,Black
19,86,154,
218,140,11,
161,133,73,
166,219,202,Black
227,31,147,
120,130,142,
158,49,255,
30,218,190,Black
81,16,3,
4,132,162,
16,210,189,Black
171,109,1,
29,198,38,Black
71,97,204,
43,47,64,
203,45,92,
11,232,202,Black
61,152,252,
65,184,42,
249,30,83,
168,230,242,Black
212,8,133,
241,89,76,
245,45,81,
157,188,210,Black
66,156,36,
149,22,30,
252,4,247,
221,31,15,
181,34,177,
156,242,251,Black
202,173,111,Black
230,237,239,Black
31,10,31,
227,224,24,
37,59,171,
126,59,185,
43,83,165,
114,74,214,
230,211,148,Black
31,184,130,
77,149,106,
79,133,144,
30,153,255,
211,52,8,
83,91,225,
254,208,139,Black
11,109,26,
40,48,6,
248,102,135,
70,5,165,
54,106,23,
127,199,238,Black
8,4,92,
254,64,223,
72,195,156,
89,243,0,Black
225,199,195,Black
49,189,81,
17,16,109,
38,223,47,Black
149,225,226,Black
121,198,113,Black
41,137,194,
185,46,33,
189,5,158,
72,53,66,
189,138,20,
6,3,188,
246,162,15,
92,164,242,
242,32,189,
205,133,180,
229,204,5,
250,34,217,
57,80,37,
241,42,245,
192,252,54,Black
140,127,45,
156,49,80,
152,140,118,
101,44,150,
37,151,197,
194,165,57,
215,117,52,
138,41,47,
138,169,212,Black
82,198,172,Black
191,19,163,
41,57,222,
110,136,169,
51,40,138,
188,166,245,Black
125,249,254,Black
217,220,28,Black
52,214,112,Black
4,147,203,
173,40,245,
204,128,149,
85,97,219,
112,63,232,
154,17,10,
124,226,104,
203,137,170,Black
136,75,19,
233,227,35,Black
12,105,123,
9,154,22,
170,105,156,
46,41,18,
44,181,243,
52,188,79,
221,169,167,Black
221,209,104,Black
122,133,188,
170,240,135,Black
197,44,197,
